,Date_time,Compound,Negative,Neutral,News_outlet,Positive,Tweet,Tweet_number
0,2018-03-23 19:07:00+00:00,0.0,0.0,1.0,BBC,0.0,"RT @BBCOne: .@GaryLineker, @OreOduba, @ThisisDavina &amp; more kick off the biggest ever night of #SportRelief now on @bbcone. @sportrelief 
Fo…",1
1,2018-03-23 18:03:04+00:00,-0.296,0.136,0.864,BBC,0.0,From @taylorswift13 to @Beyonce: these are the secretive musicians who avoid interviews. ?? https://t.co/nqOmaVMzoo https://t.co/sbDga7L5cp,2
2,2018-03-23 17:33:03+00:00,0.0,0.0,1.0,BBC,0.0,"Tonight, @GaryLineker, @ThisisDavina and @OreOduba kick off the biggest ever night of @sportrelief! ??????… https://t.co/tgbpC76heP",3
3,2018-03-23 17:02:01+00:00,0.0,0.0,1.0,BBC,0.0,"Your week, as told by @louistheroux. ??
https://t.co/Ae6bDBpIBW",4
4,2018-03-23 16:27:45+00:00,0.0,0.0,1.0,BBC,0.0,"RT @BBCWales: A #DanceForParkinsons session with @ndcwales for @GetCreativeUK in #Cardiff this week 

Find out what’s happening on the fina…",5
5,2018-03-23 16:00:12+00:00,0.7783,0.0,0.714,BBC,0.286,"Meet Australian maths teacher Eddie Woo, who has won fans worldwide with his high-energy lessons, posted on YouTube… https://t.co/vTfNDZzA3b",6
6,2018-03-23 14:33:40+00:00,-0.4479,0.172,0.828,BBC,0.0,"RT @BBCOne: No @andy_murray, this is not a dream. @GeriHalliwell really IS in your bedroom making you sing Spice Girls songs ?

@sportrelie…",7
7,2018-03-23 14:03:08+00:00,0.5994,0.0,0.813,BBC,0.187,These beautiful photographs reveal how refugees in Tyneside have turned to the healing powers of gardening. ??… https://t.co/2gq0t9FnIR,8
8,2018-03-23 14:00:02+00:00,-0.4767,0.129,0.871,BBC,0.0,"How would you react if you woke up and found Michael McIntyre and Peppa Pig in your bedroom? 

Poor @AndyMurray…

S… https://t.co/7ZP0hUYeKr",9
9,2018-03-23 13:33:04+00:00,0.6114,0.0,0.8,BBC,0.2,Spring is here! ??? Make the most of seasonal ingredients with these delicious soup recipes. https://t.co/fXp7eJXoJc https://t.co/hA1b2bdSrd,10
10,2018-03-23 13:03:02+00:00,0.4939,0.0,0.741,BBC,0.259,"Want to get creative this weekend? Here's how to make a hooky rug. 
#MakeCraftBritain 
https://t.co/uqibyP09s7",11
11,2018-03-23 11:42:55+00:00,0.0,0.0,1.0,BBC,0.0,RT @BBCSport: He was one of English football's first black players and the British Army's first ever black officer to command white troops.…,12
12,2018-03-23 11:42:51+00:00,-0.2006,0.139,0.754,BBC,0.107,RT @BBCRadio2: ? “I thought the script was really frightening and original.” Martin Freeman chats to @achrisevans about his creepy new film…,13
13,2018-03-23 11:42:48+00:00,0.0,0.0,1.0,BBC,0.0,RT @BBCTwo: Our entire weekend plans. ?? #BigCatsAboutTheHouse https://t.co/vl0zUcCdmI,14
14,2018-03-23 11:42:43+00:00,0.3612,0.0,0.872,BBC,0.128,"RT @sportrelief: It looks like #TeamGryffindor are storming ahead in the #HogwartsLeague in the #SportRelief app. 

#TeamHufflepuff, #TeamS…",15
15,2018-03-23 11:30:05+00:00,0.2648,0.0,0.897,BBC,0.103,???Some blueberry muffins sold by cafes and supermarkets contain more than the recommended daily intake of sugar fo… https://t.co/9bh6K8aMH2,16
16,2018-03-23 10:33:01+00:00,-0.6016,0.187,0.813,BBC,0.0,"Friday night is CELEBRITY FIGHT NIGHT! ??

Who'll be victorious? Tune in to #SportRelief to find out!

https://t.co/9ZhgNGmxOD",17
17,2018-03-23 10:03:03+00:00,0.8555,0.0,0.657,BBC,0.343,"Scrolling through headlines, the world can feel like a pretty dark place. So here are nine reasons to be happy. ? ?… https://t.co/KrNoB0qaqC",18
18,2018-03-23 09:30:03+00:00,0.765,0.0,0.583,BBC,0.417,"Would you want secret helpers like these to help you out in nerve-wracking situations? #TheSecretHelpers 
https://t.co/ua2X4vxKR3",19
19,2018-03-23 08:33:01+00:00,0.0,0.0,1.0,BBC,0.0,"Meet the first polar bear cub to be born in the UK in 25 years. ?
https://t.co/njq1r6eONE",20
20,2018-03-22 21:39:27+00:00,0.1511,0.0,0.85,BBC,0.15,"RT @BBCOne: All hail queen Kat! ?? 

#EastEnders @BBCEastenders https://t.co/PLmAc53L6t",21
21,2018-03-22 21:30:01+00:00,0.2732,0.0,0.884,BBC,0.116,"Istanbul's Blue Mosque looks spectacular. @wmarybeard looks at the art, meaning and significance of calligraphy the… https://t.co/Mv3voUkcvc",22
22,2018-03-22 21:20:05+00:00,0.0,0.0,1.0,BBC,0.0,? The artist reimagining Islamic calligraphy for the 21st Century: https://t.co/wgbVwZLDEa #Civilisations https://t.co/nxW6Sokjdn,23
23,2018-03-22 20:30:01+00:00,-0.6486,0.202,0.798,BBC,0.0,"In 1918, the very first signs of the Spanish Flu pandemic were kept under wraps. So how did the deadly illness get… https://t.co/zuZryXLihL",24
24,2018-03-22 19:04:04+00:00,0.0,0.0,1.0,BBC,0.0,Go behind-the-scenes at @TheBigCatSanct where expert Giles Clark is hand-rearing a jaguar cub. ?… https://t.co/0hDQP6X1wA,25
25,2018-03-22 18:30:09+00:00,0.0516,0.159,0.625,BBC,0.216,"Tai chi has been recommended to help people with the chronic pain condition fibromyalgia. 

https://t.co/uYDlKfWbt7 https://t.co/Y7P9ceP82j",26
26,2018-03-22 17:33:04+00:00,-0.25,0.083,0.917,BBC,0.0,"The cost of living alone, rather than living as a couple, is more than £1000 a year. ??

This is the price of being… https://t.co/udzI9xGci6",27
27,2018-03-22 17:03:54+00:00,0.0,0.0,1.0,BBC,0.0,.@ManUtd have applied to have a professional women's team. ?? https://t.co/rxzdRsDhUd https://t.co/meO65NRCtm,28
28,2018-03-22 17:03:05+00:00,0.128,0.092,0.795,BBC,0.113,"Worried about your impact on the planet? ??

This is how to make your next holiday more eco-friendly. ???

?… https://t.co/wCmDZJledV",29
29,2018-03-22 16:04:06+00:00,-0.4753,0.128,0.872,BBC,0.0,"Think twice before you throw your kitchen waste in the bin! Here's how to grow plants from kitchen scraps. ???

?… https://t.co/MMgrC8yseG",30
30,2018-03-22 15:00:43+00:00,0.4184,0.0,0.859,BBC,0.141,"RT @mixital: ??New #DoctorWho writing challenge!??
Write a story featuring Rory Williams! Share it with us here: https://t.co/zW42ZnvJnc

#…",31
31,2018-03-22 15:00:01+00:00,-0.9168,0.385,0.615,BBC,0.0,"Could you name the disaster that killed the most people in the last 100 years?

Contagion! The BBC Four Pandemic |… https://t.co/10zHfD8PHT",32
32,2018-03-22 14:30:10+00:00,0.6705,0.1,0.594,BBC,0.306,"?Some musicians love doing them, others don’t.

Seven secretive musicians who like to avoid interviews:… https://t.co/7Rm55Ddynj",33
33,2018-03-22 13:53:48+00:00,0.4215,0.0,0.882,BBC,0.118,"RT @BBCEarth: Today is #WorldWaterDay. This teen has an ingenious way to test the safety of water around the world 
@BBC_Future https://t.c…",34
34,2018-03-22 13:33:04+00:00,-0.4767,0.129,0.871,BBC,0.0,"Has @chrishughes_22 read any of his own book? ??

Here's what he confessed when he took on @BBCR1's fake lie detect… https://t.co/tVaKesbKQ1",35
35,2018-03-22 13:14:13+00:00,0.0,0.0,1.0,BBC,0.0,Secret Universe: The Hidden Life of the Cell is on @BBCFOUR tonight at 8pm. ? https://t.co/PVf4thZOb3,36
36,2018-03-22 13:02:00+00:00,-0.7184,0.24,0.76,BBC,0.0,A battle is raging in your body right now. This is how the TRIM 21 protein defends your cells from viruses. https://t.co/XUAPbRS4j5,37
37,2018-03-22 12:30:10+00:00,-0.4404,0.132,0.868,BBC,0.0,"??Footloose, Fleetwood Mac's Rumours and Le Freak are among the classic records about to enter the US National Reco… https://t.co/gDLNOmNLhY",38
38,2018-03-22 11:30:17+00:00,0.5423,0.0,0.811,BBC,0.189,"Meet the five artists who have been shortlisted for the £30,000 Hepworth sculpture award. https://t.co/1UGe2zQlDT https://t.co/MwWxUZWAhs",39
39,2018-03-22 10:58:34+00:00,0.0,0.0,1.0,BBC,0.0,"RT @bbcwritersroom: Check out an interview with the #writer of #TheAssassinationofGianniVersace @tomrobsmith on our blog
https://t.co/m5rty…",40
40,2018-03-22 10:49:54+00:00,-0.5994,0.245,0.755,BBC,0.0,RT @bbcthree: 'I was the only female in a violent all-male gang' https://t.co/NjF720J71M https://t.co/k7T0PqyuiG,41
41,2018-03-22 10:30:09+00:00,-0.296,0.216,0.784,BBC,0.0,?Can social media stop you getting a job? https://t.co/M9uTa8vMHA https://t.co/LwXJCGgW0b,42
42,2018-03-22 09:54:21+00:00,0.0,0.0,1.0,BBC,0.0,RT @bbcpress: 50 classic cookery shows served up on @BBCiPlayer this Easter: https://t.co/RbyjFq6Dsj https://t.co/Hvt1m1dhpU,43
43,2018-03-22 09:33:03+00:00,0.0,0.0,1.0,BBC,0.0,"Come on, who doesn't say ""xylophone"" on a daily basis? ??@daraobriain #LiveAtTheApollo

https://t.co/5k1yKuwpzA",44
44,2018-03-22 08:33:02+00:00,-0.3612,0.185,0.815,BBC,0.0,"Tantrums are inevitable... ??This is how you raise a baby jaguar. #BigCatsAboutTheHouse

https://t.co/4mBf6xmvOr",45
45,2018-03-21 20:56:41+00:00,0.0,0.0,1.0,BBC,0.0,"RT @BBCSport: John Bishop’s on a one man mission to World Cup victory for @SportRelief!

Keep an eye out here for Geoff Hurst's 'dab' ???…",46
46,2018-03-21 20:51:06+00:00,-0.1154,0.079,0.921,BBC,0.0,"""I felt vulnerable but now I feel empowered.”

25-year-old rapper Paigey Cakey had a hair transplant after her hair… https://t.co/fGoueTbzyQ",47
47,2018-03-21 20:03:04+00:00,0.0,0.0,1.0,BBC,0.0,"Watch as @ZoeTheBall attempts to cycle over 300 miles, to raise awareness about mental health and raise money for… https://t.co/qGcCT8wLSt",48
48,2018-03-21 19:03:04+00:00,-0.5994,0.163,0.837,BBC,0.0,"Who were my parents - and why was I left on a hillside to die? 

After a life full of questions, Anthea finally has… https://t.co/5fEma0vgfw",49
49,2018-03-21 17:03:04+00:00,0.4249,0.0,0.865,BBC,0.135,"??You really can't go wrong with a recipe from Mary Berry. 

???? Here are some of @BBCFood's favourites. ?… https://t.co/svyK73KV0o",50
50,2018-03-21 16:30:07+00:00,0.4939,0.0,0.868,BBC,0.132,"Is it too late to save the oceans from plastic? ?

Go behind the scenes of the documentary Sir David Attenborough c… https://t.co/SjXbB6OZAN",51
51,2018-03-21 16:29:54+00:00,0.4019,0.0,0.886,BBC,0.114,"RT @bbcmusic: Anne-Marie, Kylie Minogue, Ladysmith Black Mambazo and more have been added to the lineup for The Queen's Birthday Party conc…",52
